DeliverableID,ExecutionPath,LifecycleState,DatasheetState,SpecificationState,GuidanceState,ProcedureState,SemanticState,SemanticLensingState,WarrantedItemCount,DependencyMirrorState,DependencyRowCount,DependencyActiveRowCount,ValidationState,Notes
DEL-07-08,execution/PKG-07_Graphical User Interface and Engineering Workflow/1_Working/DEL-07-08_Design-authoring state and comparison workspace,SEMANTIC_READY,PRESENT,PRESENT,PRESENT,PRESENT,PRESENT_NON_PLACEHOLDER,PRESENT,4,PRESENT_PRESERVED_APPROVED_DAG002_MIRROR,21,21,VALIDATED,one-subagent-per-production-unit workflow completed; dependency-extract normalization conflict recorded; approved DAG-002 mirror preserved
DEL-08-06,"execution/PKG-08_Reporting, Audit, and Reproducibility/1_Working/DEL-08-06_State, comparison, and handoff report sections",SEMANTIC_READY,PRESENT,PRESENT,PRESENT,PRESENT,PRESENT_NON_PLACEHOLDER,PRESENT,7,PRESENT_PRESERVED_APPROVED_DAG002_MIRROR,22,22,VALIDATED,one-subagent-per-production-unit workflow completed; dependency-extract normalization conflict recorded; approved DAG-002 mirror preserved
DEL-13-01,execution/PKG-13_Physical Design Knowledge and Constraint Engine/1_Working/DEL-13-01_Design knowledge schema and provenance model,SEMANTIC_READY,PRESENT,PRESENT,PRESENT,PRESENT,PRESENT_NON_PLACEHOLDER,PRESENT,9,PRESENT_PRESERVED_APPROVED_DAG002_MIRROR,11,11,VALIDATED,one-subagent-per-production-unit workflow completed; dependency-extract normalization conflict recorded; approved DAG-002 mirror preserved
DEL-13-02,execution/PKG-13_Physical Design Knowledge and Constraint Engine/1_Working/DEL-13-02_Constraint entity and provenance model,SEMANTIC_READY,PRESENT,PRESENT,PRESENT,PRESENT,PRESENT_NON_PLACEHOLDER,PRESENT,6,PRESENT_PRESERVED_APPROVED_DAG002_MIRROR,12,12,VALIDATED,one-subagent-per-production-unit workflow completed; dependency-extract normalization conflict recorded; approved DAG-002 mirror preserved
DEL-13-03,execution/PKG-13_Physical Design Knowledge and Constraint Engine/1_Working/DEL-13-03_Constraint validation engine,SEMANTIC_READY,PRESENT,PRESENT,PRESENT,PRESENT,PRESENT_NON_PLACEHOLDER,PRESENT,7,PRESENT_PRESERVED_APPROVED_DAG002_MIRROR,12,12,VALIDATED,one-subagent-per-production-unit workflow completed; dependency-extract normalization conflict recorded; approved DAG-002 mirror preserved
DEL-13-04,execution/PKG-13_Physical Design Knowledge and Constraint Engine/1_Working/DEL-13-04_Physical-to-analytical transformation contract,SEMANTIC_READY,PRESENT,PRESENT,PRESENT,PRESENT,PRESENT_NON_PLACEHOLDER,PRESENT,13,PRESENT_PRESERVED_APPROVED_DAG002_MIRROR,14,14,VALIDATED,one-subagent-per-production-unit workflow completed; dependency-extract normalization conflict recorded; approved DAG-002 mirror preserved
DEL-14-01,"execution/PKG-14_Model States, Analysis Runs, and Comparison/1_Working/DEL-14-01_Immutable model state records",SEMANTIC_READY,PRESENT,PRESENT,PRESENT,PRESENT,PRESENT_NON_PLACEHOLDER,PRESENT,7,PRESENT_PRESERVED_APPROVED_DAG002_MIRROR,11,11,VALIDATED,one-subagent-per-production-unit workflow completed; dependency-extract normalization conflict recorded; approved DAG-002 mirror preserved
DEL-14-02,"execution/PKG-14_Model States, Analysis Runs, and Comparison/1_Working/DEL-14-02_Analysis run records",SEMANTIC_READY,PRESENT,PRESENT,PRESENT,PRESENT,PRESENT_NON_PLACEHOLDER,PRESENT,6,PRESENT_PRESERVED_APPROVED_DAG002_MIRROR,12,12,VALIDATED,one-subagent-per-production-unit workflow completed; dependency-extract normalization conflict recorded; approved DAG-002 mirror preserved
DEL-14-03,"execution/PKG-14_Model States, Analysis Runs, and Comparison/1_Working/DEL-14-03_Model-state comparison engine",SEMANTIC_READY,PRESENT,PRESENT,PRESENT,PRESENT,PRESENT_NON_PLACEHOLDER,PRESENT,6,PRESENT_PRESERVED_APPROVED_DAG002_MIRROR,10,10,VALIDATED,one-subagent-per-production-unit workflow completed; dependency-extract normalization conflict recorded; approved DAG-002 mirror preserved
DEL-14-04,"execution/PKG-14_Model States, Analysis Runs, and Comparison/1_Working/DEL-14-04_Analysis-run comparison engine",SEMANTIC_READY,PRESENT,PRESENT,PRESENT,PRESENT,PRESENT_NON_PLACEHOLDER,PRESENT,5,PRESENT_PRESERVED_APPROVED_DAG002_MIRROR,11,11,VALIDATED,one-subagent-per-production-unit workflow completed; dependency-extract normalization conflict recorded; approved DAG-002 mirror preserved
DEL-14-05,"execution/PKG-14_Model States, Analysis Runs, and Comparison/1_Working/DEL-14-05_Comparison mapping, tolerance, and export contracts",SEMANTIC_READY,PRESENT,PRESENT,PRESENT,PRESENT,PRESENT_NON_PLACEHOLDER,PRESENT,8,PRESENT_PRESERVED_APPROVED_DAG002_MIRROR,11,11,VALIDATED,one-subagent-per-production-unit workflow completed; dependency-extract normalization conflict recorded; approved DAG-002 mirror preserved
DEL-15-01,execution/PKG-15_Handoff and External Prover Workflow/1_Working/DEL-15-01_Canonical handoff package schema and manifest,SEMANTIC_READY,PRESENT,PRESENT,PRESENT,PRESENT,PRESENT_NON_PLACEHOLDER,PRESENT,5,PRESENT_PRESERVED_APPROVED_DAG002_MIRROR,13,13,VALIDATED,one-subagent-per-production-unit workflow completed; dependency-extract normalization conflict recorded; approved DAG-002 mirror preserved
DEL-15-02,execution/PKG-15_Handoff and External Prover Workflow/1_Working/DEL-15-02_Target mapping and unsupported-behavior contract,SEMANTIC_READY,PRESENT,PRESENT,PRESENT,PRESENT,PRESENT_NON_PLACEHOLDER,PRESENT,7,PRESENT_PRESERVED_APPROVED_DAG002_MIRROR,13,13,VALIDATED,one-subagent-per-production-unit workflow completed; dependency-extract normalization conflict recorded; approved DAG-002 mirror preserved
DEL-15-03,execution/PKG-15_Handoff and External Prover Workflow/1_Working/DEL-15-03_Downstream modeling export workflow,SEMANTIC_READY,PRESENT,PRESENT,PRESENT,PRESENT,PRESENT_NON_PLACEHOLDER,PRESENT,7,PRESENT_PRESERVED_APPROVED_DAG002_MIRROR,14,14,VALIDATED,one-subagent-per-production-unit workflow completed; dependency-extract normalization conflict recorded; approved DAG-002 mirror preserved
DEL-15-04,execution/PKG-15_Handoff and External Prover Workflow/1_Working/DEL-15-04_External prover boundary metadata,SEMANTIC_READY,PRESENT,PRESENT,PRESENT,PRESENT,PRESENT_NON_PLACEHOLDER,PRESENT,6,PRESENT_PRESERVED_APPROVED_DAG002_MIRROR,12,12,VALIDATED,one-subagent-per-production-unit workflow completed; dependency-extract normalization conflict recorded; approved DAG-002 mirror preserved
DEL-16-01,execution/PKG-16_Model Operation and Agent Proposal Framework/1_Working/DEL-16-01_Structured model operation schema,SEMANTIC_READY,PRESENT,PRESENT,PRESENT,PRESENT,PRESENT_NON_PLACEHOLDER,PRESENT,5,PRESENT_PRESERVED_APPROVED_DAG002_MIRROR,11,11,VALIDATED,one-subagent-per-production-unit workflow completed; dependency-extract normalization conflict recorded; approved DAG-002 mirror preserved
DEL-16-02,execution/PKG-16_Model Operation and Agent Proposal Framework/1_Working/DEL-16-02_Operation validation and diff preview,SEMANTIC_READY,PRESENT,PRESENT,PRESENT,PRESENT,PRESENT_NON_PLACEHOLDER,PRESENT,8,PRESENT_PRESERVED_APPROVED_DAG002_MIRROR,12,12,VALIDATED,one-subagent-per-production-unit workflow completed; dependency-extract normalization conflict recorded; approved DAG-002 mirror preserved
DEL-16-03,execution/PKG-16_Model Operation and Agent Proposal Framework/1_Working/DEL-16-03_User acceptance and operation audit trail,SEMANTIC_READY,PRESENT,PRESENT,PRESENT,PRESENT,PRESENT_NON_PLACEHOLDER,PRESENT,5,PRESENT_PRESERVED_APPROVED_DAG002_MIRROR,12,12,VALIDATED,one-subagent-per-production-unit workflow completed; dependency-extract normalization conflict recorded; approved DAG-002 mirror preserved
DEL-16-04,execution/PKG-16_Model Operation and Agent Proposal Framework/1_Working/DEL-16-04_Agent rationale and professional-boundary controls,SEMANTIC_READY,PRESENT,PRESENT,PRESENT,PRESENT,PRESENT_NON_PLACEHOLDER,PRESENT,7,PRESENT_PRESERVED_APPROVED_DAG002_MIRROR,10,10,VALIDATED,one-subagent-per-production-unit workflow completed; dependency-extract normalization conflict recorded; approved DAG-002 mirror preserved
