DeliverableID,PackageID,Name,ContextStatus,ContextPath,Revision05ScopeItems,Revision05Objectives,Reason
DEL-00-01,PKG-00,Architecture decision record baseline,REGENERATE_OR_EXPLICITLY_DEFER,execution/PKG-00_Software Architecture Runway/1_Working/DEL-00-01_Architecture decision record baseline/_CONTEXT.md,SOW-056,OBJ-013,retired_decomposition_path
DEL-00-02,PKG-00,Repository and module boundary architecture,REGENERATE_OR_EXPLICITLY_DEFER,execution/PKG-00_Software Architecture Runway/1_Working/DEL-00-02_Repository and module boundary architecture/_CONTEXT.md,"SOW-057,SOW-062",OBJ-013,retired_decomposition_path
DEL-00-03,PKG-00,Application service command-query-job model,REGENERATE_OR_EXPLICITLY_DEFER,execution/PKG-00_Software Architecture Runway/1_Working/DEL-00-03_Application service command-query-job model/_CONTEXT.md,"SOW-058,SOW-062",OBJ-013,retired_decomposition_path
DEL-00-04,PKG-00,Persistence and schema versioning architecture,REGENERATE_OR_EXPLICITLY_DEFER,execution/PKG-00_Software Architecture Runway/1_Working/DEL-00-04_Persistence and schema versioning architecture/_CONTEXT.md,SOW-059,OBJ-013,retired_decomposition_path
DEL-00-05,PKG-00,GUI state and interaction architecture,REGENERATE_OR_EXPLICITLY_DEFER,execution/PKG-00_Software Architecture Runway/1_Working/DEL-00-05_GUI state and interaction architecture/_CONTEXT.md,SOW-060,OBJ-013,retired_decomposition_path
DEL-00-06,PKG-00,"Diagnostics, warning, and result-envelope contract",REGENERATE_OR_EXPLICITLY_DEFER,"execution/PKG-00_Software Architecture Runway/1_Working/DEL-00-06_Diagnostics, warning, and result-envelope contract/_CONTEXT.md",SOW-061,OBJ-013,retired_decomposition_path
DEL-00-07,PKG-00,API boundary and adapter contract map,REGENERATE_OR_EXPLICITLY_DEFER,execution/PKG-00_Software Architecture Runway/1_Working/DEL-00-07_API boundary and adapter contract map/_CONTEXT.md,SOW-062,OBJ-013,retired_decomposition_path
DEL-00-08,PKG-00,Layered software test and acceptance strategy,REGENERATE_OR_EXPLICITLY_DEFER,execution/PKG-00_Software Architecture Runway/1_Working/DEL-00-08_Layered software test and acceptance strategy/_CONTEXT.md,SOW-063,OBJ-013,retired_decomposition_path
DEL-01-01,PKG-01,Project governance baseline,REGENERATE_OR_EXPLICITLY_DEFER,"execution/PKG-01_Governance, IP Boundary, and Professional Responsibility/1_Working/DEL-01-01_Project governance baseline/_CONTEXT.md","SOW-001,SOW-048","OBJ-001,OBJ-002",retired_decomposition_path;revision_0_4_reference
DEL-01-02,PKG-01,Copyright and protected-data boundary policy,REGENERATE_OR_EXPLICITLY_DEFER,"execution/PKG-01_Governance, IP Boundary, and Professional Responsibility/1_Working/DEL-01-02_Copyright and protected-data boundary policy/_CONTEXT.md","SOW-003,SOW-028",OBJ-002,retired_decomposition_path;revision_0_4_reference
DEL-01-03,PKG-01,Contributor certification workflow,REGENERATE_OR_EXPLICITLY_DEFER,"execution/PKG-01_Governance, IP Boundary, and Professional Responsibility/1_Working/DEL-01-03_Contributor certification workflow/_CONTEXT.md","SOW-028,SOW-048",OBJ-002,retired_decomposition_path;revision_0_4_reference
DEL-01-04,PKG-01,Professional responsibility and product-claims policy,REGENERATE_OR_EXPLICITLY_DEFER,"execution/PKG-01_Governance, IP Boundary, and Professional Responsibility/1_Working/DEL-01-04_Professional responsibility and product-claims policy/_CONTEXT.md","SOW-034,SOW-064","OBJ-011,OBJ-018",retired_decomposition_path;revision_0_4_reference
DEL-02-01,PKG-02,Canonical domain model schema,REGENERATE_OR_EXPLICITLY_DEFER,"execution/PKG-02_Domain Model, Units, and Core Schemas/1_Working/DEL-02-01_Canonical domain model schema/_CONTEXT.md","SOW-041,SOW-065","OBJ-001,OBJ-012,OBJ-014",retired_decomposition_path;revision_0_4_reference
DEL-02-02,PKG-02,Unit system and dimensional-analysis core contract,REGENERATE_OR_EXPLICITLY_DEFER,"execution/PKG-02_Domain Model, Units, and Core Schemas/1_Working/DEL-02-02_Unit system and dimensional-analysis core contract/_CONTEXT.md",SOW-025,"OBJ-001,OBJ-012",retired_decomposition_path;revision_0_4_reference
DEL-02-03,PKG-02,Code-neutral analysis boundary model,REGENERATE_OR_EXPLICITLY_DEFER,"execution/PKG-02_Domain Model, Units, and Core Schemas/1_Working/DEL-02-03_Code-neutral analysis boundary model/_CONTEXT.md",SOW-002,"OBJ-001,OBJ-011",retired_decomposition_path;revision_0_4_reference
DEL-02-04,PKG-02,Plugin and extension domain contracts,REGENERATE_OR_EXPLICITLY_DEFER,"execution/PKG-02_Domain Model, Units, and Core Schemas/1_Working/DEL-02-04_Plugin and extension domain contracts/_CONTEXT.md",SOW-038,OBJ-009,retired_decomposition_path;revision_0_4_reference
DEL-02-05,PKG-02,Project persistence and round-trip serialization,REGENERATE_OR_EXPLICITLY_DEFER,"execution/PKG-02_Domain Model, Units, and Core Schemas/1_Working/DEL-02-05_Project persistence and round-trip serialization/_CONTEXT.md","SOW-050,SOW-041","OBJ-001,OBJ-012",retired_decomposition_path;revision_0_4_reference
DEL-03-01,PKG-03,Material library schema with provenance,REGENERATE_OR_EXPLICITLY_DEFER,"execution/PKG-03_Piping Components, Materials, and Library Data Model/1_Working/DEL-03-01_Material library schema with provenance/_CONTEXT.md",SOW-017,OBJ-004,retired_decomposition_path;revision_0_4_reference
DEL-03-02,PKG-03,Pipe section and component library schema,REGENERATE_OR_EXPLICITLY_DEFER,"execution/PKG-03_Piping Components, Materials, and Library Data Model/1_Working/DEL-03-02_Pipe section and component library schema/_CONTEXT.md",SOW-018,OBJ-004,retired_decomposition_path;revision_0_4_reference
DEL-03-03,PKG-03,Bend and elbow component model fields,REGENERATE_OR_EXPLICITLY_DEFER,"execution/PKG-03_Piping Components, Materials, and Library Data Model/1_Working/DEL-03-03_Bend and elbow component model fields/_CONTEXT.md",SOW-007,OBJ-004,retired_decomposition_path;revision_0_4_reference
DEL-03-04,PKG-03,Branch connection component model fields,REGENERATE_OR_EXPLICITLY_DEFER,"execution/PKG-03_Piping Components, Materials, and Library Data Model/1_Working/DEL-03-04_Branch connection component model fields/_CONTEXT.md",SOW-008,OBJ-004,retired_decomposition_path;revision_0_4_reference
DEL-03-05,PKG-03,"Rigid component models for valves, flanges, reducers, and specialty items",REGENERATE_OR_EXPLICITLY_DEFER,"execution/PKG-03_Piping Components, Materials, and Library Data Model/1_Working/DEL-03-05_Rigid component models for valves, flanges, reducers, and specialty items/_CONTEXT.md",SOW-009,OBJ-004,retired_decomposition_path;revision_0_4_reference
DEL-03-06,PKG-03,Expansion joint component model,REGENERATE_OR_EXPLICITLY_DEFER,"execution/PKG-03_Piping Components, Materials, and Library Data Model/1_Working/DEL-03-06_Expansion joint component model/_CONTEXT.md",SOW-010,OBJ-004,retired_decomposition_path;revision_0_4_reference
DEL-03-07,PKG-03,Public/private library import provenance checker,REGENERATE_OR_EXPLICITLY_DEFER,"execution/PKG-03_Piping Components, Materials, and Library Data Model/1_Working/DEL-03-07_Public-private library import provenance checker/_CONTEXT.md","SOW-019,SOW-044","OBJ-002,OBJ-004",retired_decomposition_path;revision_0_4_reference
DEL-03-08,PKG-03,Pipe section property and mass-property calculator,REGENERATE_OR_EXPLICITLY_DEFER,"execution/PKG-03_Piping Components, Materials, and Library Data Model/1_Working/DEL-03-08_Pipe section property and mass-property calculator/_CONTEXT.md","SOW-051,SOW-018","OBJ-004,OBJ-012",retired_decomposition_path;revision_0_4_reference
DEL-04-01,PKG-04,3D frame stiffness kernel,REGENERATE_OR_EXPLICITLY_DEFER,execution/PKG-04_Solver Core and Numerical Methods/1_Working/DEL-04-01_3D frame stiffness kernel/_CONTEXT.md,"SOW-005,SOW-035",OBJ-003,retired_decomposition_path;revision_0_4_reference
DEL-04-02,PKG-04,Straight pipe element,REGENERATE_OR_EXPLICITLY_DEFER,execution/PKG-04_Solver Core and Numerical Methods/1_Working/DEL-04-02_Straight pipe element/_CONTEXT.md,SOW-006,OBJ-003,retired_decomposition_path;revision_0_4_reference
DEL-04-03,PKG-04,Linear support and restraint models,REGENERATE_OR_EXPLICITLY_DEFER,execution/PKG-04_Solver Core and Numerical Methods/1_Working/DEL-04-03_Linear support and restraint models/_CONTEXT.md,SOW-011,OBJ-003,retired_decomposition_path;revision_0_4_reference
DEL-04-04,PKG-04,Nonlinear support active-set solver,REGENERATE_OR_EXPLICITLY_DEFER,execution/PKG-04_Solver Core and Numerical Methods/1_Working/DEL-04-04_Nonlinear support active-set solver/_CONTEXT.md,SOW-012,OBJ-003,retired_decomposition_path;revision_0_4_reference
DEL-04-05,PKG-04,Sparse solver performance harness,REGENERATE_OR_EXPLICITLY_DEFER,execution/PKG-04_Solver Core and Numerical Methods/1_Working/DEL-04-05_Sparse solver performance harness/_CONTEXT.md,SOW-035,"OBJ-003,OBJ-008",retired_decomposition_path;revision_0_4_reference
DEL-04-06,PKG-04,Solver diagnostics and singularity detection,REGENERATE_OR_EXPLICITLY_DEFER,execution/PKG-04_Solver Core and Numerical Methods/1_Working/DEL-04-06_Solver diagnostics and singularity detection/_CONTEXT.md,"SOW-053,SOW-035","OBJ-003,OBJ-008,OBJ-012",retired_decomposition_path;revision_0_4_reference
DEL-05-01,PKG-05,Primitive load case engine,REGENERATE_OR_EXPLICITLY_DEFER,"execution/PKG-05_Loads, Load Cases, and Stress Recovery/1_Working/DEL-05-01_Primitive load case engine/_CONTEXT.md",SOW-013,OBJ-003,retired_decomposition_path;revision_0_4_reference
DEL-05-02,PKG-05,Load-case algebra engine,REGENERATE_OR_EXPLICITLY_DEFER,"execution/PKG-05_Loads, Load Cases, and Stress Recovery/1_Working/DEL-05-02_Load-case algebra engine/_CONTEXT.md",SOW-014,"OBJ-003,OBJ-005",retired_decomposition_path;revision_0_4_reference
DEL-05-03,PKG-05,Fundamental stress recovery module,REGENERATE_OR_EXPLICITLY_DEFER,"execution/PKG-05_Loads, Load Cases, and Stress Recovery/1_Working/DEL-05-03_Fundamental stress recovery module/_CONTEXT.md",SOW-015,OBJ-003,retired_decomposition_path;revision_0_4_reference
DEL-05-04,PKG-05,Analysis status semantics,REGENERATE_OR_EXPLICITLY_DEFER,"execution/PKG-05_Loads, Load Cases, and Stress Recovery/1_Working/DEL-05-04_Analysis status semantics/_CONTEXT.md",SOW-047,"OBJ-005,OBJ-011",retired_decomposition_path;revision_0_4_reference
DEL-05-05,PKG-05,Concentrated and distributed user load application,REGENERATE_OR_EXPLICITLY_DEFER,"execution/PKG-05_Loads, Load Cases, and Stress Recovery/1_Working/DEL-05-05_Concentrated and distributed user load application/_CONTEXT.md","SOW-052,SOW-013","OBJ-003,OBJ-012",retired_decomposition_path;revision_0_4_reference
DEL-06-01,PKG-06,Rule-pack schema,REGENERATE_OR_EXPLICITLY_DEFER,execution/PKG-06_Rule Packs and User-Supplied Code Check Engine/1_Working/DEL-06-01_Rule-pack schema/_CONTEXT.md,"SOW-016,SOW-042",OBJ-005,retired_decomposition_path;revision_0_4_reference
DEL-06-02,PKG-06,Sandboxed unit-aware expression evaluator,REGENERATE_OR_EXPLICITLY_DEFER,execution/PKG-06_Rule Packs and User-Supplied Code Check Engine/1_Working/DEL-06-02_Sandboxed unit-aware expression evaluator/_CONTEXT.md,SOW-045,OBJ-005,retired_decomposition_path;revision_0_4_reference
DEL-06-03,PKG-06,Required-input completeness checker,REGENERATE_OR_EXPLICITLY_DEFER,execution/PKG-06_Rule Packs and User-Supplied Code Check Engine/1_Working/DEL-06-03_Required-input completeness checker/_CONTEXT.md,SOW-004,"OBJ-002,OBJ-005",retired_decomposition_path;revision_0_4_reference
DEL-06-04,PKG-06,Private rule-pack lifecycle and checksum handling,REGENERATE_OR_EXPLICITLY_DEFER,execution/PKG-06_Rule Packs and User-Supplied Code Check Engine/1_Working/DEL-06-04_Private rule-pack lifecycle and checksum handling/_CONTEXT.md,SOW-042,"OBJ-002,OBJ-005",retired_decomposition_path;revision_0_4_reference
DEL-06-05,PKG-06,Invented non-code example rule pack,REGENERATE_OR_EXPLICITLY_DEFER,execution/PKG-06_Rule Packs and User-Supplied Code Check Engine/1_Working/DEL-06-05_Invented non-code example rule pack/_CONTEXT.md,SOW-016,"OBJ-005,OBJ-011",retired_decomposition_path;revision_0_4_reference
DEL-07-01,PKG-07,3D viewport and centerline editor,REGENERATE_OR_EXPLICITLY_DEFER,execution/PKG-07_Graphical User Interface and Engineering Workflow/1_Working/DEL-07-01_3D viewport and centerline editor/_CONTEXT.md,SOW-020,OBJ-006,retired_decomposition_path;revision_0_4_reference
DEL-07-02,PKG-07,Model tree and property inspector,REGENERATE_OR_EXPLICITLY_DEFER,execution/PKG-07_Graphical User Interface and Engineering Workflow/1_Working/DEL-07-02_Model tree and property inspector/_CONTEXT.md,"SOW-020,SOW-021",OBJ-006,retired_decomposition_path;revision_0_4_reference
DEL-07-03,PKG-07,"Material, component, and rule-pack editors",REGENERATE_OR_EXPLICITLY_DEFER,"execution/PKG-07_Graphical User Interface and Engineering Workflow/1_Working/DEL-07-03_Material, component, and rule-pack editors/_CONTEXT.md",SOW-021,OBJ-006,retired_decomposition_path;revision_0_4_reference
DEL-07-04,PKG-07,Missing-data warning and blocking UX,REGENERATE_OR_EXPLICITLY_DEFER,execution/PKG-07_Graphical User Interface and Engineering Workflow/1_Working/DEL-07-04_Missing-data warning and blocking UX/_CONTEXT.md,SOW-022,"OBJ-006,OBJ-011",retired_decomposition_path;revision_0_4_reference
DEL-07-05,PKG-07,Results viewer,REGENERATE_OR_EXPLICITLY_DEFER,execution/PKG-07_Graphical User Interface and Engineering Workflow/1_Working/DEL-07-05_Results viewer/_CONTEXT.md,SOW-023,"OBJ-006,OBJ-007",retired_decomposition_path;revision_0_4_reference
DEL-07-06,PKG-07,Accessibility and usability baseline,REGENERATE_OR_EXPLICITLY_DEFER,execution/PKG-07_Graphical User Interface and Engineering Workflow/1_Working/DEL-07-06_Accessibility and usability baseline/_CONTEXT.md,SOW-036,OBJ-006,retired_decomposition_path;revision_0_4_reference
DEL-07-07,PKG-07,"Solve execution UX: progress, cancellation, and diagnostics",REGENERATE_OR_EXPLICITLY_DEFER,"execution/PKG-07_Graphical User Interface and Engineering Workflow/1_Working/DEL-07-07_Solve execution UX- progress, cancellation, and diagnostics/_CONTEXT.md",SOW-055,"OBJ-006,OBJ-007",retired_decomposition_path;revision_0_4_reference
DEL-07-08,PKG-07,Design-authoring state and comparison workspace,MISSING_CONTEXT_AND_FOLDER,,SOW-076,"OBJ-015,OBJ-016",missing new SCA-002 context surface
DEL-08-01,PKG-08,Calculation report generator,REGENERATE_OR_EXPLICITLY_DEFER,"execution/PKG-08_Reporting, Audit, and Reproducibility/1_Working/DEL-08-01_Calculation report generator/_CONTEXT.md",SOW-024,OBJ-007,retired_decomposition_path;revision_0_4_reference
DEL-08-02,PKG-08,Audit manifest and model hash,REGENERATE_OR_EXPLICITLY_DEFER,"execution/PKG-08_Reporting, Audit, and Reproducibility/1_Working/DEL-08-02_Audit manifest and model hash/_CONTEXT.md",SOW-039,"OBJ-007,OBJ-012",retired_decomposition_path;revision_0_4_reference
DEL-08-03,PKG-08,"Warnings, assumptions, and provenance report section",REGENERATE_OR_EXPLICITLY_DEFER,"execution/PKG-08_Reporting, Audit, and Reproducibility/1_Working/DEL-08-03_Warnings, assumptions, and provenance report section/_CONTEXT.md",SOW-024,"OBJ-007,OBJ-011",retired_decomposition_path;revision_0_4_reference
DEL-08-04,PKG-08,Result export format,REGENERATE_OR_EXPLICITLY_DEFER,"execution/PKG-08_Reporting, Audit, and Reproducibility/1_Working/DEL-08-04_Result export format/_CONTEXT.md",SOW-046,"OBJ-007,OBJ-009",retired_decomposition_path;revision_0_4_reference
DEL-08-05,PKG-08,Report protected-content linter,REGENERATE_OR_EXPLICITLY_DEFER,"execution/PKG-08_Reporting, Audit, and Reproducibility/1_Working/DEL-08-05_Report protected-content linter/_CONTEXT.md",SOW-043,"OBJ-002,OBJ-007",retired_decomposition_path;revision_0_4_reference
DEL-08-06,PKG-08,"State, comparison, and handoff report sections",MISSING_CONTEXT_AND_FOLDER,,SOW-024,"OBJ-007,OBJ-016,OBJ-017,OBJ-018",missing new SCA-002 context surface
DEL-09-01,PKG-09,Mechanics benchmark suite,REGENERATE_OR_EXPLICITLY_DEFER,"execution/PKG-09_Verification, Validation, and Quality Oracles/1_Working/DEL-09-01_Mechanics benchmark suite/_CONTEXT.md",SOW-026,OBJ-008,retired_decomposition_path;revision_0_4_reference
DEL-09-02,PKG-09,Stress recovery benchmark suite,REGENERATE_OR_EXPLICITLY_DEFER,"execution/PKG-09_Verification, Validation, and Quality Oracles/1_Working/DEL-09-02_Stress recovery benchmark suite/_CONTEXT.md",SOW-026,OBJ-008,retired_decomposition_path;revision_0_4_reference
DEL-09-03,PKG-09,Nonlinear support regression suite,REGENERATE_OR_EXPLICITLY_DEFER,"execution/PKG-09_Verification, Validation, and Quality Oracles/1_Working/DEL-09-03_Nonlinear support regression suite/_CONTEXT.md",SOW-026,OBJ-008,retired_decomposition_path;revision_0_4_reference
DEL-09-04,PKG-09,Validation manual skeleton,REGENERATE_OR_EXPLICITLY_DEFER,"execution/PKG-09_Verification, Validation, and Quality Oracles/1_Working/DEL-09-04_Validation manual skeleton/_CONTEXT.md",SOW-027,"OBJ-008,OBJ-011",retired_decomposition_path;revision_0_4_reference
DEL-09-05,PKG-09,Release quality gate checklist,REGENERATE_OR_EXPLICITLY_DEFER,"execution/PKG-09_Verification, Validation, and Quality Oracles/1_Working/DEL-09-05_Release quality gate checklist/_CONTEXT.md","SOW-026,SOW-027",OBJ-008,retired_decomposition_path;revision_0_4_reference
DEL-10-01,PKG-10,Public API and plugin boundary,REGENERATE_OR_EXPLICITLY_DEFER,"execution/PKG-10_Build, Packaging, API, and Interoperability/1_Working/DEL-10-01_Public API and plugin boundary/_CONTEXT.md",SOW-030,OBJ-009,retired_decomposition_path;revision_0_4_reference
DEL-10-02,PKG-10,Import/export adapter framework,REGENERATE_OR_EXPLICITLY_DEFER,"execution/PKG-10_Build, Packaging, API, and Interoperability/1_Working/DEL-10-02_Import-export adapter framework/_CONTEXT.md",SOW-030,OBJ-009,retired_decomposition_path;revision_0_4_reference
DEL-10-03,PKG-10,Local FEA handoff data contract,REGENERATE_OR_EXPLICITLY_DEFER,"execution/PKG-10_Build, Packaging, API, and Interoperability/1_Working/DEL-10-03_Local FEA handoff data contract/_CONTEXT.md","SOW-031,SOW-049",OBJ-009,retired_decomposition_path;revision_0_4_reference
DEL-10-04,PKG-10,"Build, packaging, and CI/CD pipeline",REGENERATE_OR_EXPLICITLY_DEFER,"execution/PKG-10_Build, Packaging, API, and Interoperability/1_Working/DEL-10-04_Build, packaging, and CI-CD pipeline/_CONTEXT.md",SOW-032,"OBJ-008,OBJ-009",retired_decomposition_path;revision_0_4_reference
DEL-10-05,PKG-10,Headless CLI and structured I/O analysis runner,REGENERATE_OR_EXPLICITLY_DEFER,"execution/PKG-10_Build, Packaging, API, and Interoperability/1_Working/DEL-10-05_Headless CLI and structured I-O analysis runner/_CONTEXT.md","SOW-054,SOW-032","OBJ-008,OBJ-009,OBJ-012",retired_decomposition_path;revision_0_4_reference
DEL-11-01,PKG-11,User guide skeleton,REGENERATE_OR_EXPLICITLY_DEFER,"execution/PKG-11_Documentation, Examples, and Education/1_Working/DEL-11-01_User guide skeleton/_CONTEXT.md",SOW-033,"OBJ-001,OBJ-011",retired_decomposition_path;revision_0_4_reference
DEL-11-02,PKG-11,Developer guide for solver and rule packs,REGENERATE_OR_EXPLICITLY_DEFER,"execution/PKG-11_Documentation, Examples, and Education/1_Working/DEL-11-02_Developer guide for solver and rule packs/_CONTEXT.md",SOW-033,"OBJ-001,OBJ-002",retired_decomposition_path;revision_0_4_reference
DEL-11-03,PKG-11,Theory notes: classical to modern centerline analysis,REGENERATE_OR_EXPLICITLY_DEFER,"execution/PKG-11_Documentation, Examples, and Education/1_Working/DEL-11-03_Theory notes- classical to modern centerline analysis/_CONTEXT.md",SOW-033,"OBJ-001,OBJ-003",retired_decomposition_path;revision_0_4_reference
DEL-11-04,PKG-11,Invented educational example models,REGENERATE_OR_EXPLICITLY_DEFER,"execution/PKG-11_Documentation, Examples, and Education/1_Working/DEL-11-04_Invented educational example models/_CONTEXT.md",SOW-033,"OBJ-001,OBJ-008",retired_decomposition_path;revision_0_4_reference
DEL-11-05,PKG-11,Contributor tutorial and onboarding,REGENERATE_OR_EXPLICITLY_DEFER,"execution/PKG-11_Documentation, Examples, and Education/1_Working/DEL-11-05_Contributor tutorial and onboarding/_CONTEXT.md",SOW-033,"OBJ-001,OBJ-002",retired_decomposition_path;revision_0_4_reference
DEL-12-01,PKG-12,Local-first storage and private data paths,REGENERATE_OR_EXPLICITLY_DEFER,"execution/PKG-12_Security, Privacy, and Private Data Handling/1_Working/DEL-12-01_Local-first storage and private data paths/_CONTEXT.md",SOW-029,OBJ-010,retired_decomposition_path;revision_0_4_reference
DEL-12-02,PKG-12,Private data redaction and export controls,REGENERATE_OR_EXPLICITLY_DEFER,"execution/PKG-12_Security, Privacy, and Private Data Handling/1_Working/DEL-12-02_Private data redaction and export controls/_CONTEXT.md",SOW-040,OBJ-010,retired_decomposition_path;revision_0_4_reference
DEL-12-03,PKG-12,Telemetry off-by-default design,REGENERATE_OR_EXPLICITLY_DEFER,"execution/PKG-12_Security, Privacy, and Private Data Handling/1_Working/DEL-12-03_Telemetry off-by-default design/_CONTEXT.md",SOW-037,OBJ-010,retired_decomposition_path;revision_0_4_reference
DEL-12-04,PKG-12,Secret and private-library handling,REGENERATE_OR_EXPLICITLY_DEFER,"execution/PKG-12_Security, Privacy, and Private Data Handling/1_Working/DEL-12-04_Secret and private-library handling/_CONTEXT.md","SOW-040,SOW-029",OBJ-010,retired_decomposition_path;revision_0_4_reference
DEL-12-05,PKG-12,Security threat model,REGENERATE_OR_EXPLICITLY_DEFER,"execution/PKG-12_Security, Privacy, and Private Data Handling/1_Working/DEL-12-05_Security threat model/_CONTEXT.md",SOW-040,OBJ-010,retired_decomposition_path;revision_0_4_reference
DEL-13-01,PKG-13,Design knowledge schema and provenance model,MISSING_CONTEXT_AND_FOLDER,,SOW-067,OBJ-014,missing new SCA-002 context surface
DEL-13-02,PKG-13,Constraint entity and provenance model,MISSING_CONTEXT_AND_FOLDER,,"SOW-068,SOW-067","OBJ-014,OBJ-018",missing new SCA-002 context surface
DEL-13-03,PKG-13,Constraint validation engine,MISSING_CONTEXT_AND_FOLDER,,SOW-068,OBJ-014,missing new SCA-002 context surface
DEL-13-04,PKG-13,Physical-to-analytical transformation contract,MISSING_CONTEXT_AND_FOLDER,,SOW-066,OBJ-014,missing new SCA-002 context surface
DEL-14-01,PKG-14,Immutable model state records,MISSING_CONTEXT_AND_FOLDER,,SOW-071,OBJ-016,missing new SCA-002 context surface
DEL-14-02,PKG-14,Analysis run records,MISSING_CONTEXT_AND_FOLDER,,SOW-072,OBJ-016,missing new SCA-002 context surface
DEL-14-03,PKG-14,Model-state comparison engine,MISSING_CONTEXT_AND_FOLDER,,"SOW-073,SOW-071",OBJ-016,missing new SCA-002 context surface
DEL-14-04,PKG-14,Analysis-run comparison engine,MISSING_CONTEXT_AND_FOLDER,,"SOW-073,SOW-072",OBJ-016,missing new SCA-002 context surface
DEL-14-05,PKG-14,"Comparison mapping, tolerance, and export contracts",MISSING_CONTEXT_AND_FOLDER,,SOW-073,OBJ-016,missing new SCA-002 context surface
DEL-15-01,PKG-15,Canonical handoff package schema and manifest,MISSING_CONTEXT_AND_FOLDER,,SOW-074,OBJ-017,missing new SCA-002 context surface
DEL-15-02,PKG-15,Target mapping and unsupported-behavior contract,MISSING_CONTEXT_AND_FOLDER,,SOW-074,OBJ-017,missing new SCA-002 context surface
DEL-15-03,PKG-15,Downstream modeling export workflow,MISSING_CONTEXT_AND_FOLDER,,SOW-074,OBJ-017,missing new SCA-002 context surface
DEL-15-04,PKG-15,External prover boundary metadata,MISSING_CONTEXT_AND_FOLDER,,SOW-075,"OBJ-017,OBJ-018",missing new SCA-002 context surface
DEL-16-01,PKG-16,Structured model operation schema,MISSING_CONTEXT_AND_FOLDER,,SOW-069,OBJ-015,missing new SCA-002 context surface
DEL-16-02,PKG-16,Operation validation and diff preview,MISSING_CONTEXT_AND_FOLDER,,SOW-069,OBJ-015,missing new SCA-002 context surface
DEL-16-03,PKG-16,User acceptance and operation audit trail,MISSING_CONTEXT_AND_FOLDER,,"SOW-069,SOW-070",OBJ-015,missing new SCA-002 context surface
DEL-16-04,PKG-16,Agent rationale and professional-boundary controls,MISSING_CONTEXT_AND_FOLDER,,SOW-070,"OBJ-015,OBJ-018",missing new SCA-002 context surface
