DeliverableID,PackageID,EvidenceState,Commit,CommitSubject,Revision05Name,Revision05Type,Revision05ScopeItems,Revision05Objectives,CompatibilityFlag,Notes
DEL-01-01,PKG-01,COMMITTED,7650cf6,docs: tighten maintainer governance gates,Project governance baseline,DOC_UPDATE,"SOW-001,SOW-048","OBJ-001,OBJ-002",ID_MAPS_TO_REVISION_0_5,ID exists in revision 0.5; completeness still depends on refreshed graph/context review.
DEL-01-02,PKG-01,COMMITTED,0d729cf,docs: tighten protected data boundary,Copyright and protected-data boundary policy,DOC_UPDATE,"SOW-003,SOW-028",OBJ-002,ID_MAPS_TO_REVISION_0_5,ID exists in revision 0.5; completeness still depends on refreshed graph/context review.
DEL-01-03,PKG-01,COMMITTED,df461f8,docs: add contributor certification workflow,Contributor certification workflow,DOC_UPDATE,"SOW-028,SOW-048",OBJ-002,ID_MAPS_TO_REVISION_0_5,ID exists in revision 0.5; completeness still depends on refreshed graph/context review.
DEL-01-04,PKG-01,COMMITTED,65f3119,docs: add professional boundary policy,Professional responsibility and product-claims policy,DOC_UPDATE,"SOW-034,SOW-064","OBJ-011,OBJ-018",TARGETED_SCOPE_REVIEW_REQUIRED,Historical evidence remains usable only after REVIEW confirms revised scope fit.
DEL-02-01,PKG-02,COMMITTED,7b256f3,schema: tighten canonical domain model contract,Canonical domain model schema,DATA_MODEL_CHANGE,"SOW-041,SOW-065","OBJ-001,OBJ-012,OBJ-014",TARGETED_SCOPE_REVIEW_REQUIRED,Historical evidence remains usable only after REVIEW confirms revised scope fit.
DEL-02-02,PKG-02,COMMITTED,a458cba,schema: tighten unit system contract,Unit system and dimensional-analysis core contract,BACKEND_FEATURE_SLICE,SOW-025,"OBJ-001,OBJ-012",ID_MAPS_TO_REVISION_0_5,ID exists in revision 0.5; completeness still depends on refreshed graph/context review.
DEL-02-03,PKG-02,COMMITTED,abc1306,schema: tighten analysis boundary model,Code-neutral analysis boundary model,DATA_MODEL_CHANGE,SOW-002,"OBJ-001,OBJ-011",ID_MAPS_TO_REVISION_0_5,ID exists in revision 0.5; completeness still depends on refreshed graph/context review.
DEL-02-04,PKG-02,COMMITTED,ef44f4c,schema: tighten plugin extension contract,Plugin and extension domain contracts,API_CONTRACT,SOW-038,OBJ-009,ID_MAPS_TO_REVISION_0_5,ID exists in revision 0.5; completeness still depends on refreshed graph/context review.
DEL-02-05,PKG-02,COMMITTED,742016e,schema: tighten project persistence contract,Project persistence and round-trip serialization,DATA_MODEL_CHANGE,"SOW-050,SOW-041","OBJ-001,OBJ-012",ID_MAPS_TO_REVISION_0_5,ID exists in revision 0.5; completeness still depends on refreshed graph/context review.
DEL-03-01,PKG-03,COMMITTED,3793e87,schema: add material library provenance contract,Material library schema with provenance,DATA_MODEL_CHANGE,SOW-017,OBJ-004,ID_MAPS_TO_REVISION_0_5,ID exists in revision 0.5; completeness still depends on refreshed graph/context review.
DEL-03-02,PKG-03,COMMITTED,f0fdeac,schema: add section and component library contracts,Pipe section and component library schema,DATA_MODEL_CHANGE,SOW-018,OBJ-004,ID_MAPS_TO_REVISION_0_5,ID exists in revision 0.5; completeness still depends on refreshed graph/context review.
DEL-03-03,PKG-03,COMMITTED,7a84472,schema: add bend elbow component contract,Bend and elbow component model fields,BACKEND_FEATURE_SLICE,SOW-007,OBJ-004,ID_MAPS_TO_REVISION_0_5,ID exists in revision 0.5; completeness still depends on refreshed graph/context review.
DEL-03-04,PKG-03,COMMITTED,ae693b6,schema: add branch component contract,Branch connection component model fields,BACKEND_FEATURE_SLICE,SOW-008,OBJ-004,ID_MAPS_TO_REVISION_0_5,ID exists in revision 0.5; completeness still depends on refreshed graph/context review.
DEL-03-05,PKG-03,COMMITTED,d8ee0db,schema: add rigid component contract,"Rigid component models for valves, flanges, reducers, and specialty items",BACKEND_FEATURE_SLICE,SOW-009,OBJ-004,ID_MAPS_TO_REVISION_0_5,ID exists in revision 0.5; completeness still depends on refreshed graph/context review.
DEL-03-06,PKG-03,COMMITTED,f15cbc6,schema: add expansion joint component contract,Expansion joint component model,BACKEND_FEATURE_SLICE,SOW-010,OBJ-004,ID_MAPS_TO_REVISION_0_5,ID exists in revision 0.5; completeness still depends on refreshed graph/context review.
DEL-03-07,PKG-03,COMMITTED,4d880b3,core: add library import provenance checker,Public/private library import provenance checker,BACKEND_FEATURE_SLICE,"SOW-019,SOW-044","OBJ-002,OBJ-004",ID_MAPS_TO_REVISION_0_5,ID exists in revision 0.5; completeness still depends on refreshed graph/context review.
DEL-03-08,PKG-03,COMMITTED,9712e98,core: add pipe section property calculator,Pipe section property and mass-property calculator,BACKEND_FEATURE_SLICE,"SOW-051,SOW-018","OBJ-004,OBJ-012",ID_MAPS_TO_REVISION_0_5,ID exists in revision 0.5; completeness still depends on refreshed graph/context review.
DEL-04-01,PKG-04,COMMITTED,1506cc0,core: complete frame stiffness kernel,3D frame stiffness kernel,BACKEND_FEATURE_SLICE,"SOW-005,SOW-035",OBJ-003,ID_MAPS_TO_REVISION_0_5,ID exists in revision 0.5; completeness still depends on refreshed graph/context review.
DEL-04-06,PKG-04,COMMITTED,fdb0252,core: add solver diagnostics module,Solver diagnostics and singularity detection,BACKEND_FEATURE_SLICE,"SOW-053,SOW-035","OBJ-003,OBJ-008,OBJ-012",ID_MAPS_TO_REVISION_0_5,ID exists in revision 0.5; completeness still depends on refreshed graph/context review.
DEL-04-05,PKG-04,COMMITTED,75f6688,core: add solver performance harness,Sparse solver performance harness,TEST_SUITE,SOW-035,"OBJ-003,OBJ-008",ID_MAPS_TO_REVISION_0_5,ID exists in revision 0.5; completeness still depends on refreshed graph/context review.
DEL-04-02,PKG-04,COMMITTED,b0516e5,core: add straight pipe element,Straight pipe element,BACKEND_FEATURE_SLICE,SOW-006,OBJ-003,ID_MAPS_TO_REVISION_0_5,ID exists in revision 0.5; completeness still depends on refreshed graph/context review.
DEL-04-03,PKG-04,COMMITTED,d227a27,core: add linear support models,Linear support and restraint models,BACKEND_FEATURE_SLICE,SOW-011,OBJ-003,ID_MAPS_TO_REVISION_0_5,ID exists in revision 0.5; completeness still depends on refreshed graph/context review.
DEL-04-04,PKG-04,COMMITTED,d3c3533,core: add nonlinear support active-set model,Nonlinear support active-set solver,BACKEND_FEATURE_SLICE,SOW-012,OBJ-003,ID_MAPS_TO_REVISION_0_5,ID exists in revision 0.5; completeness still depends on refreshed graph/context review.
DEL-05-01,PKG-05,COMMITTED,e3c9695,core: add primitive load case engine,Primitive load case engine,BACKEND_FEATURE_SLICE,SOW-013,OBJ-003,ID_MAPS_TO_REVISION_0_5,ID exists in revision 0.5; completeness still depends on refreshed graph/context review.
DEL-05-04,PKG-05,COMMITTED,dbaf21e,schema: tighten analysis status semantics,Analysis status semantics,DATA_MODEL_CHANGE,SOW-047,"OBJ-005,OBJ-011",ID_MAPS_TO_REVISION_0_5,ID exists in revision 0.5; completeness still depends on refreshed graph/context review.
DEL-05-02,PKG-05,COMMITTED,0f9189c,core: add load case algebra engine,Load-case algebra engine,BACKEND_FEATURE_SLICE,SOW-014,"OBJ-003,OBJ-005",ID_MAPS_TO_REVISION_0_5,ID exists in revision 0.5; completeness still depends on refreshed graph/context review.
DEL-05-03,PKG-05,COMMITTED,26dc805,core: add stress recovery module,Fundamental stress recovery module,BACKEND_FEATURE_SLICE,SOW-015,OBJ-003,ID_MAPS_TO_REVISION_0_5,ID exists in revision 0.5; completeness still depends on refreshed graph/context review.
DEL-06-01,PKG-06,COMMITTED,20241f9,schema: add rule pack contract,Rule-pack schema,DATA_MODEL_CHANGE,"SOW-016,SOW-042",OBJ-005,ID_MAPS_TO_REVISION_0_5,ID exists in revision 0.5; completeness still depends on refreshed graph/context review.
DEL-06-02,PKG-06,COMMITTED,7490f67,core: add rule expression evaluator,Sandboxed unit-aware expression evaluator,BACKEND_FEATURE_SLICE,SOW-045,OBJ-005,ID_MAPS_TO_REVISION_0_5,ID exists in revision 0.5; completeness still depends on refreshed graph/context review.
DEL-06-05,PKG-06,COMMITTED,73506b7,docs: add invented rule pack example,Invented non-code example rule pack,DOC_UPDATE,SOW-016,"OBJ-005,OBJ-011",ID_MAPS_TO_REVISION_0_5,ID exists in revision 0.5; completeness still depends on refreshed graph/context review.
DEL-06-04,PKG-06,COMMITTED,ad270f6,core: add rule pack lifecycle handling,Private rule-pack lifecycle and checksum handling,BACKEND_FEATURE_SLICE,SOW-042,"OBJ-002,OBJ-005",ID_MAPS_TO_REVISION_0_5,ID exists in revision 0.5; completeness still depends on refreshed graph/context review.
DEL-06-03,PKG-06,COMMITTED,c075522,core: add rule completeness checker,Required-input completeness checker,BACKEND_FEATURE_SLICE,SOW-004,"OBJ-002,OBJ-005",ID_MAPS_TO_REVISION_0_5,ID exists in revision 0.5; completeness still depends on refreshed graph/context review.
DEL-08-02,PKG-08,COMMITTED,061f1af,core: add audit manifest hashing,Audit manifest and model hash,BACKEND_FEATURE_SLICE,SOW-039,"OBJ-007,OBJ-012",ID_MAPS_TO_REVISION_0_5,ID exists in revision 0.5; completeness still depends on refreshed graph/context review.
DEL-05-05,PKG-05,COMMITTED,3cfcfd2,core: add user load application,Concentrated and distributed user load application,BACKEND_FEATURE_SLICE,"SOW-052,SOW-013","OBJ-003,OBJ-012",ID_MAPS_TO_REVISION_0_5,ID exists in revision 0.5; completeness still depends on refreshed graph/context review.
DEL-09-01,PKG-09,COMMITTED,b34ecd6,validation: add mechanics benchmark suite,Mechanics benchmark suite,TEST_SUITE,SOW-026,OBJ-008,ID_MAPS_TO_REVISION_0_5,ID exists in revision 0.5; completeness still depends on refreshed graph/context review.
DEL-09-02,PKG-09,COMMITTED,bf1dc20,validation: add stress recovery benchmark suite,Stress recovery benchmark suite,TEST_SUITE,SOW-026,OBJ-008,ID_MAPS_TO_REVISION_0_5,ID exists in revision 0.5; completeness still depends on refreshed graph/context review.
DEL-12-05,PKG-12,COMMITTED,b97121d,docs: add security threat model,Security threat model,DOC_UPDATE,SOW-040,OBJ-010,ID_MAPS_TO_REVISION_0_5,ID exists in revision 0.5; completeness still depends on refreshed graph/context review.
DEL-12-03,PKG-12,COMMITTED,7834b97,docs: add telemetry off by default policy,Telemetry off-by-default design,SECURITY_CONTROL,SOW-037,OBJ-010,ID_MAPS_TO_REVISION_0_5,ID exists in revision 0.5; completeness still depends on refreshed graph/context review.
DEL-12-01,PKG-12,COMMITTED,84e0a73,docs: add local first storage policy,Local-first storage and private data paths,SECURITY_CONTROL,SOW-029,OBJ-010,ID_MAPS_TO_REVISION_0_5,ID exists in revision 0.5; completeness still depends on refreshed graph/context review.
DEL-10-01,PKG-10,COMMITTED,53cc3d6,api: harden public boundary contract,Public API and plugin boundary,API_CONTRACT,SOW-030,OBJ-009,ID_MAPS_TO_REVISION_0_5,ID exists in revision 0.5; completeness still depends on refreshed graph/context review.
DEL-08-04,PKG-08,COMMITTED,3e33ea4,schema: add result export contract,Result export format,API_CONTRACT,SOW-046,"OBJ-007,OBJ-009",ID_MAPS_TO_REVISION_0_5,ID exists in revision 0.5; completeness still depends on refreshed graph/context review.
DEL-10-05,PKG-10,COMMITTED,9de5e9b,core: add headless runner contract,Headless CLI and structured I/O analysis runner,BACKEND_FEATURE_SLICE,"SOW-054,SOW-032","OBJ-008,OBJ-009,OBJ-012",ID_MAPS_TO_REVISION_0_5,ID exists in revision 0.5; completeness still depends on refreshed graph/context review.
DEL-10-02,PKG-10,COMMITTED,be29df7,core: add adapter framework contract,Import/export adapter framework,BACKEND_FEATURE_SLICE,SOW-030,OBJ-009,ID_MAPS_TO_REVISION_0_5,ID exists in revision 0.5; completeness still depends on refreshed graph/context review.
DEL-08-03,PKG-08,COMMITTED,50f947a,schema: add report sections contract,"Warnings, assumptions, and provenance report section",BACKEND_FEATURE_SLICE,SOW-024,"OBJ-007,OBJ-011",ID_MAPS_TO_REVISION_0_5,ID exists in revision 0.5; completeness still depends on refreshed graph/context review.
DEL-08-01,PKG-08,COMMITTED,9e21716,schema: add calculation report generator contract,Calculation report generator,BACKEND_FEATURE_SLICE,SOW-024,OBJ-007,ID_MAPS_TO_REVISION_0_5,ID exists in revision 0.5; completeness still depends on refreshed graph/context review.
DEL-08-05,PKG-08,COMMITTED,69adffa,schema: add report protected-content linter,Report protected-content linter,TEST_SUITE,SOW-043,"OBJ-002,OBJ-007",ID_MAPS_TO_REVISION_0_5,ID exists in revision 0.5; completeness still depends on refreshed graph/context review.
DEL-07-01,PKG-07,COMMITTED,4785806,schema: add viewport editor contract,3D viewport and centerline editor,UX_UI_SLICE,SOW-020,OBJ-006,ID_MAPS_TO_REVISION_0_5,ID exists in revision 0.5; completeness still depends on refreshed graph/context review.
DEL-00-01,PKG-00,MISSING_EVIDENCE,,,Architecture decision record baseline,DOC_UPDATE,SOW-056,OBJ-013,NO_HISTORICAL_IMPLEMENTATION_EVIDENCE,Expected for new/unimplemented or historical-unimplemented deliverables; not a dispatch authorization.
DEL-00-02,PKG-00,MISSING_EVIDENCE,,,Repository and module boundary architecture,API_CONTRACT,"SOW-057,SOW-062",OBJ-013,NO_HISTORICAL_IMPLEMENTATION_EVIDENCE,Expected for new/unimplemented or historical-unimplemented deliverables; not a dispatch authorization.
DEL-00-03,PKG-00,MISSING_EVIDENCE,,,Application service command-query-job model,API_CONTRACT,"SOW-058,SOW-062",OBJ-013,NO_HISTORICAL_IMPLEMENTATION_EVIDENCE,Expected for new/unimplemented or historical-unimplemented deliverables; not a dispatch authorization.
DEL-00-04,PKG-00,MISSING_EVIDENCE,,,Persistence and schema versioning architecture,DATA_MODEL_CHANGE,SOW-059,OBJ-013,NO_HISTORICAL_IMPLEMENTATION_EVIDENCE,Expected for new/unimplemented or historical-unimplemented deliverables; not a dispatch authorization.
DEL-00-05,PKG-00,MISSING_EVIDENCE,,,GUI state and interaction architecture,UX_UI_SLICE,SOW-060,OBJ-013,NO_HISTORICAL_IMPLEMENTATION_EVIDENCE,Expected for new/unimplemented or historical-unimplemented deliverables; not a dispatch authorization.
DEL-00-06,PKG-00,MISSING_EVIDENCE,,,"Diagnostics, warning, and result-envelope contract",DATA_MODEL_CHANGE,SOW-061,OBJ-013,NO_HISTORICAL_IMPLEMENTATION_EVIDENCE,Expected for new/unimplemented or historical-unimplemented deliverables; not a dispatch authorization.
DEL-00-07,PKG-00,MISSING_EVIDENCE,,,API boundary and adapter contract map,API_CONTRACT,SOW-062,OBJ-013,NO_HISTORICAL_IMPLEMENTATION_EVIDENCE,Expected for new/unimplemented or historical-unimplemented deliverables; not a dispatch authorization.
DEL-00-08,PKG-00,MISSING_EVIDENCE,,,Layered software test and acceptance strategy,TEST_SUITE,SOW-063,OBJ-013,NO_HISTORICAL_IMPLEMENTATION_EVIDENCE,Expected for new/unimplemented or historical-unimplemented deliverables; not a dispatch authorization.
DEL-07-02,PKG-07,MISSING_EVIDENCE,,,Model tree and property inspector,UX_UI_SLICE,"SOW-020,SOW-021",OBJ-006,NO_HISTORICAL_IMPLEMENTATION_EVIDENCE,Expected for new/unimplemented or historical-unimplemented deliverables; not a dispatch authorization.
DEL-07-03,PKG-07,MISSING_EVIDENCE,,,"Material, component, and rule-pack editors",UX_UI_SLICE,SOW-021,OBJ-006,NO_HISTORICAL_IMPLEMENTATION_EVIDENCE,Expected for new/unimplemented or historical-unimplemented deliverables; not a dispatch authorization.
DEL-07-04,PKG-07,MISSING_EVIDENCE,,,Missing-data warning and blocking UX,UX_UI_SLICE,SOW-022,"OBJ-006,OBJ-011",NO_HISTORICAL_IMPLEMENTATION_EVIDENCE,Expected for new/unimplemented or historical-unimplemented deliverables; not a dispatch authorization.
DEL-07-05,PKG-07,MISSING_EVIDENCE,,,Results viewer,UX_UI_SLICE,SOW-023,"OBJ-006,OBJ-007",NO_HISTORICAL_IMPLEMENTATION_EVIDENCE,Expected for new/unimplemented or historical-unimplemented deliverables; not a dispatch authorization.
DEL-07-06,PKG-07,MISSING_EVIDENCE,,,Accessibility and usability baseline,UX_UI_SLICE,SOW-036,OBJ-006,NO_HISTORICAL_IMPLEMENTATION_EVIDENCE,Expected for new/unimplemented or historical-unimplemented deliverables; not a dispatch authorization.
DEL-07-07,PKG-07,MISSING_EVIDENCE,,,"Solve execution UX: progress, cancellation, and diagnostics",UX_UI_SLICE,SOW-055,"OBJ-006,OBJ-007",NO_HISTORICAL_IMPLEMENTATION_EVIDENCE,Expected for new/unimplemented or historical-unimplemented deliverables; not a dispatch authorization.
DEL-07-08,PKG-07,MISSING_EVIDENCE,,,Design-authoring state and comparison workspace,UX_UI_SLICE,SOW-076,"OBJ-015,OBJ-016",NO_HISTORICAL_IMPLEMENTATION_EVIDENCE,Expected for new/unimplemented or historical-unimplemented deliverables; not a dispatch authorization.
DEL-08-06,PKG-08,MISSING_EVIDENCE,,,"State, comparison, and handoff report sections",BACKEND_FEATURE_SLICE,SOW-024,"OBJ-007,OBJ-016,OBJ-017,OBJ-018",NO_HISTORICAL_IMPLEMENTATION_EVIDENCE,Expected for new/unimplemented or historical-unimplemented deliverables; not a dispatch authorization.
DEL-09-03,PKG-09,MISSING_EVIDENCE,,,Nonlinear support regression suite,TEST_SUITE,SOW-026,OBJ-008,NO_HISTORICAL_IMPLEMENTATION_EVIDENCE,Expected for new/unimplemented or historical-unimplemented deliverables; not a dispatch authorization.
DEL-09-04,PKG-09,MISSING_EVIDENCE,,,Validation manual skeleton,DOC_UPDATE,SOW-027,"OBJ-008,OBJ-011",NO_HISTORICAL_IMPLEMENTATION_EVIDENCE,Expected for new/unimplemented or historical-unimplemented deliverables; not a dispatch authorization.
DEL-09-05,PKG-09,MISSING_EVIDENCE,,,Release quality gate checklist,CI_CD_CHANGE,"SOW-026,SOW-027",OBJ-008,NO_HISTORICAL_IMPLEMENTATION_EVIDENCE,Expected for new/unimplemented or historical-unimplemented deliverables; not a dispatch authorization.
DEL-10-03,PKG-10,MISSING_EVIDENCE,,,Local FEA handoff data contract,API_CONTRACT,"SOW-031,SOW-049",OBJ-009,NO_HISTORICAL_IMPLEMENTATION_EVIDENCE,Expected for new/unimplemented or historical-unimplemented deliverables; not a dispatch authorization.
DEL-10-04,PKG-10,MISSING_EVIDENCE,,,"Build, packaging, and CI/CD pipeline",CI_CD_CHANGE,SOW-032,"OBJ-008,OBJ-009",NO_HISTORICAL_IMPLEMENTATION_EVIDENCE,Expected for new/unimplemented or historical-unimplemented deliverables; not a dispatch authorization.
DEL-11-01,PKG-11,MISSING_EVIDENCE,,,User guide skeleton,DOC_UPDATE,SOW-033,"OBJ-001,OBJ-011",NO_HISTORICAL_IMPLEMENTATION_EVIDENCE,Expected for new/unimplemented or historical-unimplemented deliverables; not a dispatch authorization.
DEL-11-02,PKG-11,MISSING_EVIDENCE,,,Developer guide for solver and rule packs,DOC_UPDATE,SOW-033,"OBJ-001,OBJ-002",NO_HISTORICAL_IMPLEMENTATION_EVIDENCE,Expected for new/unimplemented or historical-unimplemented deliverables; not a dispatch authorization.
DEL-11-03,PKG-11,MISSING_EVIDENCE,,,Theory notes: classical to modern centerline analysis,DOC_UPDATE,SOW-033,"OBJ-001,OBJ-003",NO_HISTORICAL_IMPLEMENTATION_EVIDENCE,Expected for new/unimplemented or historical-unimplemented deliverables; not a dispatch authorization.
DEL-11-04,PKG-11,MISSING_EVIDENCE,,,Invented educational example models,DOC_UPDATE,SOW-033,"OBJ-001,OBJ-008",NO_HISTORICAL_IMPLEMENTATION_EVIDENCE,Expected for new/unimplemented or historical-unimplemented deliverables; not a dispatch authorization.
DEL-11-05,PKG-11,MISSING_EVIDENCE,,,Contributor tutorial and onboarding,DOC_UPDATE,SOW-033,"OBJ-001,OBJ-002",NO_HISTORICAL_IMPLEMENTATION_EVIDENCE,Expected for new/unimplemented or historical-unimplemented deliverables; not a dispatch authorization.
DEL-12-02,PKG-12,MISSING_EVIDENCE,,,Private data redaction and export controls,SECURITY_CONTROL,SOW-040,OBJ-010,NO_HISTORICAL_IMPLEMENTATION_EVIDENCE,Expected for new/unimplemented or historical-unimplemented deliverables; not a dispatch authorization.
DEL-12-04,PKG-12,MISSING_EVIDENCE,,,Secret and private-library handling,SECURITY_CONTROL,"SOW-040,SOW-029",OBJ-010,NO_HISTORICAL_IMPLEMENTATION_EVIDENCE,Expected for new/unimplemented or historical-unimplemented deliverables; not a dispatch authorization.
DEL-13-01,PKG-13,MISSING_EVIDENCE,,,Design knowledge schema and provenance model,DATA_MODEL_CHANGE,SOW-067,OBJ-014,NO_HISTORICAL_IMPLEMENTATION_EVIDENCE,Expected for new/unimplemented or historical-unimplemented deliverables; not a dispatch authorization.
DEL-13-02,PKG-13,MISSING_EVIDENCE,,,Constraint entity and provenance model,DATA_MODEL_CHANGE,"SOW-068,SOW-067","OBJ-014,OBJ-018",NO_HISTORICAL_IMPLEMENTATION_EVIDENCE,Expected for new/unimplemented or historical-unimplemented deliverables; not a dispatch authorization.
DEL-13-03,PKG-13,MISSING_EVIDENCE,,,Constraint validation engine,BACKEND_FEATURE_SLICE,SOW-068,OBJ-014,NO_HISTORICAL_IMPLEMENTATION_EVIDENCE,Expected for new/unimplemented or historical-unimplemented deliverables; not a dispatch authorization.
DEL-13-04,PKG-13,MISSING_EVIDENCE,,,Physical-to-analytical transformation contract,BACKEND_FEATURE_SLICE,SOW-066,OBJ-014,NO_HISTORICAL_IMPLEMENTATION_EVIDENCE,Expected for new/unimplemented or historical-unimplemented deliverables; not a dispatch authorization.
DEL-14-01,PKG-14,MISSING_EVIDENCE,,,Immutable model state records,DATA_MODEL_CHANGE,SOW-071,OBJ-016,NO_HISTORICAL_IMPLEMENTATION_EVIDENCE,Expected for new/unimplemented or historical-unimplemented deliverables; not a dispatch authorization.
DEL-14-02,PKG-14,MISSING_EVIDENCE,,,Analysis run records,DATA_MODEL_CHANGE,SOW-072,OBJ-016,NO_HISTORICAL_IMPLEMENTATION_EVIDENCE,Expected for new/unimplemented or historical-unimplemented deliverables; not a dispatch authorization.
DEL-14-03,PKG-14,MISSING_EVIDENCE,,,Model-state comparison engine,BACKEND_FEATURE_SLICE,"SOW-073,SOW-071",OBJ-016,NO_HISTORICAL_IMPLEMENTATION_EVIDENCE,Expected for new/unimplemented or historical-unimplemented deliverables; not a dispatch authorization.
DEL-14-04,PKG-14,MISSING_EVIDENCE,,,Analysis-run comparison engine,BACKEND_FEATURE_SLICE,"SOW-073,SOW-072",OBJ-016,NO_HISTORICAL_IMPLEMENTATION_EVIDENCE,Expected for new/unimplemented or historical-unimplemented deliverables; not a dispatch authorization.
DEL-14-05,PKG-14,MISSING_EVIDENCE,,,"Comparison mapping, tolerance, and export contracts",API_CONTRACT,SOW-073,OBJ-016,NO_HISTORICAL_IMPLEMENTATION_EVIDENCE,Expected for new/unimplemented or historical-unimplemented deliverables; not a dispatch authorization.
DEL-15-01,PKG-15,MISSING_EVIDENCE,,,Canonical handoff package schema and manifest,API_CONTRACT,SOW-074,OBJ-017,NO_HISTORICAL_IMPLEMENTATION_EVIDENCE,Expected for new/unimplemented or historical-unimplemented deliverables; not a dispatch authorization.
DEL-15-02,PKG-15,MISSING_EVIDENCE,,,Target mapping and unsupported-behavior contract,API_CONTRACT,SOW-074,OBJ-017,NO_HISTORICAL_IMPLEMENTATION_EVIDENCE,Expected for new/unimplemented or historical-unimplemented deliverables; not a dispatch authorization.
DEL-15-03,PKG-15,MISSING_EVIDENCE,,,Downstream modeling export workflow,BACKEND_FEATURE_SLICE,SOW-074,OBJ-017,NO_HISTORICAL_IMPLEMENTATION_EVIDENCE,Expected for new/unimplemented or historical-unimplemented deliverables; not a dispatch authorization.
DEL-15-04,PKG-15,MISSING_EVIDENCE,,,External prover boundary metadata,DATA_MODEL_CHANGE,SOW-075,"OBJ-017,OBJ-018",NO_HISTORICAL_IMPLEMENTATION_EVIDENCE,Expected for new/unimplemented or historical-unimplemented deliverables; not a dispatch authorization.
DEL-16-01,PKG-16,MISSING_EVIDENCE,,,Structured model operation schema,DATA_MODEL_CHANGE,SOW-069,OBJ-015,NO_HISTORICAL_IMPLEMENTATION_EVIDENCE,Expected for new/unimplemented or historical-unimplemented deliverables; not a dispatch authorization.
DEL-16-02,PKG-16,MISSING_EVIDENCE,,,Operation validation and diff preview,BACKEND_FEATURE_SLICE,SOW-069,OBJ-015,NO_HISTORICAL_IMPLEMENTATION_EVIDENCE,Expected for new/unimplemented or historical-unimplemented deliverables; not a dispatch authorization.
DEL-16-03,PKG-16,MISSING_EVIDENCE,,,User acceptance and operation audit trail,BACKEND_FEATURE_SLICE,"SOW-069,SOW-070",OBJ-015,NO_HISTORICAL_IMPLEMENTATION_EVIDENCE,Expected for new/unimplemented or historical-unimplemented deliverables; not a dispatch authorization.
DEL-16-04,PKG-16,MISSING_EVIDENCE,,,Agent rationale and professional-boundary controls,SECURITY_CONTROL,SOW-070,"OBJ-015,OBJ-018",NO_HISTORICAL_IMPLEMENTATION_EVIDENCE,Expected for new/unimplemented or historical-unimplemented deliverables; not a dispatch authorization.
